name,price,rating
"Ai+ Pulse (Pink, 64 GB)",4999,4.3
"Motorola g45 5G (Brilliant Green, 128 GB)",11999,4.3
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",11999,4.5
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",28999,4.4
"Ai+ Pulse (Blue, 64 GB)",4999,4.3
"Apple iPhone 16 (White, 256 GB)",79999,4.6
"Apple iPhone 16 (Pink, 256 GB)",79999,4.6
"Samsung Galaxy S24 FE 5G (Graphite, 256 GB)",45999,4.5
"Samsung Galaxy S24 FE 5G (Mint, 256 GB)",45999,4.5
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",12999,4.5
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",12999,4.5
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Sunset Peach, 128 GB)",11999,4.5
"Apple iPhone 16 (Pink, 128 GB)",69999,4.6
"Ai+ Pulse (Black, 64 GB)",4999,4.3
"Samsung Galaxy S24 FE 5G (Blue, 256 GB)",45999,4.5
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",14999,4.5
"REDMI Note 14 SE 5G (Mystique White, 128 GB)",14999,4.2
"Apple iPhone 16 (Black, 256 GB)",79999,4.6
"MOTOROLA g35 5G (Midnight Black, 128 GB)",8999,4.2
"MOTOROLA G96 5G (Pantone Dresden Blue, 128 GB)",15999,4.4
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",22999,4.5
"Motorola g45 5G (Viva Magenta, 128 GB)",11999,4.3
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)",39999,4.5
"Apple iPhone 16 (Teal, 256 GB)",79999,4.6
"MOTOROLA Edge 60 Fusion 5G (PANTONE Slipstream, 256 GB)",20999,4.5
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)",23999,4.4
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",11999,4.5
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",28999,4.4
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 128 GB)",15999,4.4
"realme C61 (Marble Black, 64 GB)",6999,4.4
"MOTOROLA g35 5G (Leaf Green, 128 GB)",8999,4.2
"realme P3x 5G (Stellar Pink, 128 GB)",11999,4.4
"realme P3x 5G (Lunar Silver, 128 GB)",11999,4.4
"vivo T4 5G (Phantom Grey, 128 GB)",20999,4.5
"MOTOROLA G96 5G (Pantone Ashleigh Blue, 256 GB)",17999,4.4
"POCO C75 5G (Aqua Bliss, 64 GB)",7499,4.2
"Apple iPhone 16 (Ultramarine, 256 GB)",79999,4.6
"POCO M7 5G (Mint Green, 128 GB)",8699,4.1
"vivo T4 5G (Emerald Blaze, 256 GB)",24999,4.5
"vivo T4 5G (Emerald Blaze, 128 GB)",20999,4.5
"vivo T4 5G (Emerald Blaze, 256 GB)",22999,4.5
"vivo T4 5G (Phantom Grey, 256 GB)",22999,4.5
"MOTOROLA G86 Power 5G (Pantone Cosmic Sky, 128 GB)",15999,4.3
"MOTOROLA g05 (Forest Green, 64 GB)",6999,4.2
"realme P3x 5G (Lunar Silver, 128 GB)",12999,4.4
"realme P3x 5G (Midnight Blue, 128 GB)",12999,4.4
"realme P3x 5G (Midnight Blue, 128 GB)",11999,4.4
"realme P3x 5G (Stellar Pink, 128 GB)",12999,4.4
"Ai+ Pulse (Green, 64 GB)",4999,4.3
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 128 GB)",17999,4.5
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Icy Purple, 256 GB)",19999,4.5
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)",19999,4.5
"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)",11999,4.5
"realme P4 Pro 5G (Dark Oak Wood, 256 GB)",28999,4.4
"realme C61 (Marble Black, 128 GB)",8199,4.3
"realme C61 (Safari Green, 128 GB)",8199,4.3
"Motorola g45 5G (Brilliant Blue, 128 GB)",11999,4.3
"vivo T4 5G (Phantom Grey, 256 GB)",24999,4.5
"REDMI Note 14 SE 5G (Titan Black, 128 GB)",14999,4.2
"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)",21999,4.4
"MOTOROLA g35 5G (Guava Red, 128 GB)",8999,4.2
"Apple iPhone 16 Pro Max (Black Titanium, 256 GB)",134999,4.7
"MOTOROLA G96 5G (Pantone Cattleya Orchid, 128 GB)",15999,4.4
"MOTOROLA G96 5G (Pantone Greener Pastures, 256 GB)",17999,4.4
"MOTOROLA Edge 60 Fusion 5G (PANTONE Mykonos Blue, 256 GB)",22999,4.5
"vivo T4R 5G (Arctic White, 256 GB)",21499,4.5
"vivo T4R 5G (Arctic White, 128 GB)",19499,4.5
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)",23999,4.4
"Ai+ Nova 5G (Green, 128 GB)",7999,4.1
"CMF by Nothing Phone 2 Pro (Orange, 128 GB)",18999,4.4
"Samsung Galaxy F36 5G (Black, 128 GB)",19999,4.3
"vivo T4R 5G (Twilight Blue, 256 GB)",21499,4.5
